AppID,categories_single-player,categories_multi-player,categories_online_pvp,categories_full_controller_support,categories_steam_trading_cards,categories_steam_achievements,categories_steam_cloud,categories_family_sharing,categories_partial_controller_support,categories_shared/split_screen,categories_remote_play_together,genres_action,genres_adventure,genres_indie,genres_rpg,genres_simulation,genres_early_access,genres_strategy,genres_casual
359550,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
252490,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
1091500,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
553850,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
413150,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0
739630,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
1086940,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0
381210,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
346110,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0
242760,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0
221100,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
367520,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
322330,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0
1172620,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
648800,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
582010,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
250900,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
1623730,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0
264710,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
377160,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
1145360,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0
1063730,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
548430,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
284160,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0
108600,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
251570,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
394360,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
976730,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1237970,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
261550,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0
1468810,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
49520,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
632360,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
72850,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
1238810,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1326470,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0
782330,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
489830,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
294100,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0
594650,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
435150,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0
477160,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1
107410,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
427520,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1
203160,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
268910,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
1426210,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
1144200,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
526870,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0
